area,bedrooms,bathrooms,stories,parking,price
3674,3,1,1,0,1308648
1360,2,2,1,2,499816
1794,1,1,1,1,702981
1630,1,3,2,0,672603
1595,3,1,1,0,717018
3592,2,1,2,2,1266338
2138,1,2,2,2,901634
2669,1,2,2,2,961605
966,4,1,2,2,458008
1738,4,2,1,1,771931
830,1,3,1,0,434106
1982,3,3,2,0,882554
2635,5,2,1,0,1114374
3944,5,1,2,0,1453880
3671,1,3,1,1,1277220
3419,1,3,1,0,1184981
630,1,1,2,1,322767
2185,3,2,2,1,947383
3880,4,3,2,2,1533088
1269,1,1,2,2,518085
2891,1,1,1,0,917171
2015,2,3,2,1,917499
3985,3,2,1,2,1554580
3353,1,3,2,1,1288110
2933,2,1,1,2,1094854
1715,5,3,2,1,825745
1455,1,2,1,0,476633
2824,1,1,1,0,919778
1684,2,2,1,1,697462
959,3,3,2,2,592908
3885,1,3,2,2,1385187
521,5,2,2,0,436677
2800,1,3,2,0,1100370
1247,5,2,1,0,779361
3404,4,3,1,2,1295632
974,4,2,1,2,509122
1582,5,2,2,0,820112
3058,3,1,1,1,1195504
2547,1,1,1,2,892490
3247,1,2,2,0,1137097
1475,4,3,2,1,765514
2306,5,3,1,2,1089113
689,1,3,2,1,448923
3505,1,2,2,1,1237105
3234,3,2,2,2,1278975
3505,2,2,2,0,1168338
1062,4,2,1,1,720514
2399,4,1,1,0,887137
1767,2,2,1,2,747921
3379,1,3,1,1,1181177
2028,3,1,1,1,818054
3702,3,3,2,1,1449091
1146,4,2,1,1,603409
2568,3,1,1,1,963764
3388,2,2,2,2,1189069
2714,1,1,2,1,1005307
1797,2,3,2,2,812404
2935,5,2,1,0,1242360
1100,4,2,2,2,700599
2863,3,1,2,1,1193470
2561,5,1,2,0,1179147
741,3,2,1,2,498452
2541,1,1,2,2,920198
3324,1,2,2,2,1150592
3917,1,1,1,1,1327307
3112,3,3,2,1,1263955
3445,5,1,1,2,1327030
1863,1,3,1,2,784889
2639,5,1,2,0,1162117
1890,3,1,1,1,725917
3503,5,2,2,1,1425395
1978,3,1,2,0,810113
3999,3,1,2,2,1449430
3056,4,3,2,2,1229167
1275,3,1,1,0,491172
534,3,2,2,2,402429
2753,2,3,2,2,1041127
3652,1,2,2,0,1263261
2455,4,2,1,0,1034975
2085,4,2,1,0,921129
3959,4,2,2,2,1447863
3573,2,3,1,0,1225922
1521,3,1,1,2,655466
3961,1,2,2,1,1354457
3113,5,3,2,1,1312144
1629,3,2,2,0,754231
2000,2,1,2,2,848773
1202,3,3,2,2,620635
2949,3,3,1,2,1126636
3277,2,1,2,0,1159867
2079,4,3,2,2,979598
661,4,1,2,2,535468
701,1,3,2,2,420678
2481,1,3,2,1,1026326
1495,4,1,1,2,649106
2817,5,1,2,1,1222110
1315,3,3,1,2,694466
3842,5,3,2,2,1492449
955,3,1,2,2,433102
1775,4,1,2,1,761249
1516,1,3,1,2,705254
2843,1,3,2,0,1087661
3267,5,3,2,2,1383667
837,1,1,2,1,367986
1378,4,3,2,1,715595
1576,5,2,2,0,813430
